kode,nama
930101,Merauke
930102,Muting
930103,Okaba
930104,Kimaam
930105,Semangga
930106,Tanah Miring
930107,Jagebob
930108,Sota
930109,Ulilin
930110,Elikobal
930111,Kurik
930112,Naukenjerai
930113,Animha
930114,Malind
930115,Tubang
930116,Ngguti
930117,Kaptel
930118,Tabonji
930119,Waan
930120,Ilwayab
930121,Padua
930122,Kontuar
930201,Mandobo
930202,Mindiptana
930203,Waropko
930204,Kouh
930205,Jair
930206,Bomakia
930207,Kombut
930208,Iniyandit
930209,Arimop
930210,Fofi
930211,Ambatkwi
930212,Manggelum
930213,Firiwage
930214,Yaniruma
930215,Subur
930216,Kombay
930217,Ninati
930218,Sesnuk
930219,Ki
930220,Kawagit
930301,Obaa
930302,Mambioman Bapai
930303,Citak-Mitak
930304,Edera
930305,Haju
930306,Assue
930307,Kaibar
930308,Passue
930309,Minyamur
930310,Venaha
930311,Syahcame
930312,Yakomi
930313,Bamgi
930314,Passue Bawah
930315,Ti Zain
930401,Agats
930402,Atsj
930403,Sawa Erma
930404,Akat
930405,Fayit
930406,Pantai Kasuari
930407,Suator
930408,Suru-suru
930409,Kolf Braza
930410,Unir Sirau
930411,Joerat
930412,Pulau Tiga
930413,Jetsy
930414,Der Koumur
930415,Kopay
930416,Safan
930417,Sirets
930418,Ayib
930419,Betcbamu
930420,Joutu
930421,Aswi
930422,Awyu
930423,Koroway Buluanop
930424,Tomor Birip
930425,Sor Ep
