id,province_id,name
9301,93,Kabupaten Merauke
9302,93,Kabupaten Boven Digoel
9303,93,Kabupaten Mappi
9304,93,Kabupaten Asmat
9401,94,Kabupaten Nabire
9402,94,Kabupaten Puncak Jaya
9403,94,Kabupaten Paniai
9404,94,Kabupaten Mimika
9405,94,Kabupaten Puncak
9406,94,Kabupaten Dogiyai
9407,94,Kabupaten Intan Jaya
9408,94,Kabupaten Deiyai
9501,95,Kabupaten Jayawijaya
9502,95,Kab Pegunungan Bintang
9503,95,Kabupaten Yahukimo
9504,95,Kabupaten Tolikara
9505,95,Kabupaten Mamberamo Tengah
9506,95,Kabupaten Yalimo
9507,95,Kabupaten Lanny Jaya
9508,95,Kabupaten Nduga
9601,96,Kabupaten Sorong
9602,96,Kabupaten Sorong Selatan
9603,96,Kabupaten Raja Ampat
9604,96,Kabupaten Tambrauw
9605,96,Kabupaten Maybrat
9671,96,Kota Sorong
